store_name,1st_tag,1st_score,2nd_tag,2nd_score
N서울타워,#뷰맛집,0.41,#야경명소,0.17
감천문화마을,#뷰맛집,0.19,#이색체험,0.14
경복궁,#뷰맛집,0.22,#힐링산책,0.21
경주대릉원,#힐링산책,0.39,#뷰맛집,0.36
경주월드,#아이와함께,0.19,#웨이팅필수,0.14
경포해변,#뷰맛집,0.38,#힐링산책,0.19
광명동굴,#이색체험,0.36,#실내데이트,0.34
광안리해수욕장,#뷰맛집,0.43,#힐링산책,0.18
국립중앙박물관,#이색체험,0.56,#뷰맛집,0.17
낙산사,#뷰맛집,0.47,#실내데이트,0.17
남이섬,#힐링산책,0.28,#뷰맛집,0.25
남해독일마을,#뷰맛집,0.26,#이색체험,0.18
대관령양떼목장,#힐링산책,0.28,#아이와함께,0.27
대왕암공원,#힐링산책,0.31,#뷰맛집,0.29
대전오월드,#아이와함께,0.39,#이색체험,0.22
대한다원보성녹차밭,#뷰맛집,0.27,#힐링산책,0.23
덕수궁,#힐링산책,0.3,#뷰맛집,0.29
도담삼봉,#뷰맛집,0.17,#실내데이트,0.13
독립기념관,#이색체험,0.2,#아이와함께,0.17
동궁과 월지,#야경명소,0.4,#분위기깡패,0.25
동문시장,#맛집,0.53,#직원친절,0.11
두물머리,#뷰맛집,0.33,#힐링산책,0.32
롯데월드 어드벤처,#아이와함께,0.27,#실내데이트,0.13
만천하스카이워크,#뷰맛집,0.27,#실내데이트,0.14
목포해상케이블카 북항승강장,#뷰맛집,0.44,#힐링산책,0.22
바람의언덕,#힐링산책,0.41,#뷰맛집,0.29
법주사,#뷰맛집,0.22,#힐링산책,0.17
부산엑스더스카이,#뷰맛집,0.38,#실내데이트,0.16
부소산성,#뷰맛집,0.37,#힐링산책,0.27
북촌 한옥마을,#뷰맛집,0.15,#분위기깡패,0.14
불국사,#뷰맛집,0.15,#힐링산책,0.14
비자림,#힐링산책,0.57,#뷰맛집,0.41
삼척해양레일바이크 궁촌정거장,#뷰맛집,0.19,#실내데이트,0.12
서울랜드,#아이와함께,0.3,#이색체험,0.16
서울스카이,#뷰맛집,0.22,#야경명소,0.16
서울식물원,#힐링산책,0.25,#뷰맛집,0.22
서피비치,#친절해요,0.29,#직원친절,0.28
석굴암,#뷰맛집,0.21,#힐링산책,0.15
석촌호수,#힐링산책,0.4,#뷰맛집,0.38
설악케이블카,#뷰맛집,0.32,#힐링산책,0.14
섭지코지,#뷰맛집,0.36,#힐링산책,0.34
성산일출봉,#뷰맛집,0.46,#힐링산책,0.16
성심당 본점,#맛집,0.69,#디저트맛집,0.29
속초해수욕장,#뷰맛집,0.43,#힐링산책,0.2
송도 센트럴파크,#힐링산책,0.25,#뷰맛집,0.23
순천 낙안읍성,#이색체험,0.29,#뷰맛집,0.19
순천드라마촬영장,#이색체험,0.2,#사진명소,0.12
아침고요수목원,#힐링산책,0.3,#뷰맛집,0.28
안동하회마을,#뷰맛집,0.27,#이색체험,0.27
에버랜드,#아이와함께,0.26,#이색체험,0.14
여수해상케이블카,#뷰맛집,0.35,#야경명소,0.23
여의도 한강공원,#뷰맛집,0.43,#힐링산책,0.36
오동도,#뷰맛집,0.3,#힐링산책,0.29
외도 보타니아,#뷰맛집,0.19,#맛집,0.17
우도,#뷰맛집,0.18,#실내데이트,0.11
이월드,#아이와함께,0.28,#이색체험,0.15
전주 한옥마을,#이색체험,0.21,#맛집,0.13
죽녹원,#힐링산책,0.5,#뷰맛집,0.33
차이나타운,#이색체험,0.17,#맛집,0.15
천지연폭포,#힐링산책,0.27,#뷰맛집,0.24
첨성대,#뷰맛집,0.27,#힐링산책,0.26
청계천,#힐링산책,0.4,#뷰맛집,0.31
청남대,#뷰맛집,0.34,#힐링산책,0.33
태종대,#뷰맛집,0.26,#힐링산책,0.17
통영케이블카,#뷰맛집,0.35,#실내데이트,0.14
하늘공원,#힐링산책,0.39,#뷰맛집,0.24
한국민속촌,#이색체험,0.38,#아이와함께,0.34
해운대,#뷰맛집,0.29,#맛집,0.13
헤이리 예술마을,#이색체험,0.2,#아이와함께,0.13
현대백화점 더현대 서울,#맛집,0.27,#실내데이트,0.09
협재해수욕장,#뷰맛집,0.33,#분위기깡패,0.16
호미곶,#뷰맛집,0.25,#사진명소,0.14
화담숲,#맛집,0.28,#힐링산책,0.27
화성행궁,#이색체험,0.2,#뷰맛집,0.2
화암동굴,#이색체험,0.17,#아이와함께,0.15
환선굴,#실내데이트,0.16,#이색체험,0.12
